Unnamed: 0,pred_mse,r_squared_X,r_squared_Y,causal_effect_est,causal_effect_mcse,causal_effect_bias,avg_abs_param_bias,coverage,open_paths,blocked_paths
linear,0.9608,0.4208,0.6146,0.534,0.0029,-0.0008,0.0264,0.97,8,8
stepwise,0.968,0.4208,0.6117,0.5337,0.0027,-0.0012,0.0183,0.97,8,8
stepwise_X,1.2603,0.4208,0.4946,0.5363,0.0033,0.0014,0.0568,0.99,8,8
two_step_LASSO,0.9618,0.4208,0.6142,0.5344,0.0028,-0.0004,0.0242,0.96,8,8
two_step_LASSO_X,1.1139,0.4208,0.5533,0.5349,0.0029,0.0001,0.0421,0.99,8,8
