Unnamed: 0,X,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16
linear,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stepwise,1,0.21,0.16,0.1,0.18,0.13,0.12,0.2,0.17,0.19,0.11,0.16,0.21,0.14,0.14,0.13,0.15
stepwise_X,1,0.14,0.14,0.17,0.13,0.16,0.14,0.22,0.15,0.14,0.15,0.15,0.19,0.27,0.18,0.14,0.2
two_step_LASSO,1,0.63,0.58,0.6,0.67,0.63,0.66,0.65,0.56,0.66,0.58,0.62,0.5,0.6,0.58,0.64,0.59
two_step_LASSO_X,1,0.67,0.6,0.56,0.62,0.59,0.54,0.58,0.52,0.63,0.62,0.66,0.64,0.66,0.52,0.59,0.6
