Unnamed: 0,X,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16
linear,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stepwise,1,0.2,0.16,0.22,0.22,0.16,0.11,0.18,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stepwise_X,1,0.15,0.22,0.1,0.18,0.13,0.13,0.16,0.11,0.15,0.16,0.17,0.16,0.14,0.11,0.18,0.13
two_step_LASSO,1,0.56,0.64,0.53,0.65,0.65,0.53,0.56,0.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
two_step_LASSO_X,1,0.51,0.52,0.46,0.54,0.58,0.5,0.57,0.56,0.56,0.61,0.63,0.58,0.58,0.45,0.58,0.5
