Unnamed: 0,pred_mse,r_squared_X,r_squared_Y,causal_effect_est,causal_effect_mcse,causal_effect_bias,avg_abs_param_bias,coverage,open_paths,blocked_paths
linear,0.9988,0.4012,0.6005,0.5347,0.0009,-0.0002,0.0082,0.97,2,2
stepwise,0.999,0.4012,0.6005,0.5346,0.0008,-0.0002,0.0057,0.95,2,2
stepwise_X,1.2743,0.4012,0.4903,0.5349,0.001,0.0001,0.067,0.97,2,2
two_step_LASSO,0.9989,0.4012,0.6005,0.5343,0.0009,-0.0006,0.0071,0.97,2,2
two_step_LASSO_X,1.1863,0.4012,0.5256,0.5347,0.0009,-0.0002,0.0481,0.98,2,2
