Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32
0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443
0.1448,0.1467,0.145,0.1451,0.1448,0.1455,0.1456,0.1433,0.1437,0.1448,0.1449,0.1458,0.1434,0.1428,0.1452,0.1448
0.1449,0.1467,0.145,0.1451,0.1448,0.1455,0.1456,0.1432,0.1437,0.1449,0.1449,0.1458,0.1435,0.1427,0.1452,0.1448
,,,,,,,,,,,,,,,
0.1448,0.1467,0.145,0.145,0.1448,0.1455,0.1456,0.1432,0.1437,0.1448,0.1449,0.1458,0.1434,0.1427,0.1452,0.1448
,,,,,,,,,,,,,,,
