Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041,
0.0031,0.005,0.0029,-0.0007,-0.0024,0.0016,-0.0008,0.2049,0.2061,0.2011,0.2063,0.2045,0.2042,0.2034,0.2047,-0.0028
,,,,,,,0.2047,0.2056,0.2016,0.2063,0.2046,0.2042,0.2031,0.2047,
0.0006,0.0034,0.0009,0.0,-0.0016,0.0002,0.0014,0.205,0.2046,0.2028,0.2072,0.2015,0.2042,0.2037,0.2037,
,,,,,,,0.2045,0.2057,0.2008,0.2062,0.2043,0.2039,0.2032,0.2045,
0.0032,0.005,0.0026,-0.0005,-0.0019,0.001,-0.0007,0.2043,0.2045,0.2017,0.2067,0.203,0.2051,0.2032,0.2027,
