Unnamed: 0,intercept,X,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17
true_values,1.0,0.5348,0.0,0.0,0.0,0.0,0.2887,0.2887,0.2887,0.2887,0.0,0.0,0.0,0.0,0.2887,0.2887,0.2887,0.2887,
linear,0.9973,0.5358,0.0011,0.0003,-0.0005,0.0011,0.2887,0.2881,0.289,0.29,-0.0014,0.0,0.0012,0.0002,0.2882,0.2889,0.2885,0.2877,-0.0
stepwise,0.997,0.5361,,,,,0.2887,0.2881,0.289,0.29,,,,,0.2881,0.2888,0.2884,0.2876,
stepwise_X,0.9975,0.5357,,,,,,,,,-0.0013,0.0002,0.0013,-0.0004,0.2884,0.288,0.2885,0.2871,
two_step_LASSO,0.9973,0.5358,,,,,0.2887,0.2881,0.2889,0.29,,,,,0.2882,0.2889,0.2885,0.2877,
two_step_LASSO_X,0.9975,0.5358,,,,,,,,,-0.0012,0.0002,0.0016,0.0,0.2885,0.2886,0.2889,0.2874,
