Z49,Z50,Z51,Z52,Z53,Z54,Z55,Z56,Z57,Z58,Z59,Z60,Z61,Z62,Z63,Z64,Z65
0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,0.1443,
0.1431,0.1446,0.1443,0.1426,0.1442,0.1445,0.1442,0.1437,0.1446,0.1431,0.1448,0.1437,0.1436,0.1463,0.1439,0.1447,-0.0014
0.1431,0.1446,0.1442,0.1426,0.1442,0.1445,0.1441,0.1437,0.1446,0.1431,0.1448,0.1436,0.1435,0.1463,0.1438,0.1447,
0.1424,0.1451,0.1437,0.142,0.1447,0.1448,0.1443,0.1437,0.1454,0.1425,0.1442,0.1445,0.1437,0.146,0.1439,0.1444,
0.1431,0.1445,0.1442,0.1426,0.1441,0.1444,0.1441,0.1437,0.1446,0.143,0.1447,0.1436,0.1435,0.1463,0.1438,0.1446,
0.143,0.1447,0.1443,0.1425,0.1444,0.1445,0.1443,0.1433,0.1448,0.1429,0.1443,0.1442,0.1437,0.1461,0.144,0.1442,
