Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45,Z46,Z47,Z48
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0005,0.0001,-0.0011,0.0,-0.0006,-0.0009,-0.0003,-0.0003,0.0009,0.0008,-0.0015,-0.0011,0.0005,-0.0003,-0.0,0.0006
,,,,,,,,,,,,,,,
-0.0002,-0.0002,-0.0021,0.0001,0.0001,-0.0003,-0.0003,0.0004,0.0006,0.0002,-0.0017,-0.0009,0.0004,0.0003,-0.0002,0.0006
,,,,,,,,,,,,,,,
-0.0002,0.0002,-0.0019,0.0001,-0.0001,0.0,-0.0002,0.0003,0.0008,0.0004,-0.0017,-0.0008,0.0006,0.0004,0.0001,0.0005
