"","intercept","X","Z_LL","Z_LH","Z_HL","Z_HH","Z_dummy"
"true_values",1,0.534846922834953,0,0.408248290463863,0,0.408248290463863,NA
"linear",1.00013088048351,0.534807475576962,5.82742277592744e-05,0.408540933446772,0.000244778025248649,0.408166613632479,-0.000269240110073204
"stepwise",0.99984224039869,0.535101916995072,-9.28488237189981e-05,0.408538119975767,-0.000234913440136591,0.408049453412403,-0.000287844417084355
"stepwise_X",1.00054493611589,0.534650681906712,-6.30523800616108e-05,0.0649571877407769,0.000248519055797444,0.408319579337788,-0.000107596450799618
"two_step_LASSO",1.00036286626101,0.534578795199987,0.000130211821863466,0.408537867173003,0.000622786821592577,0.408259983639928,-0.000189595734576326
"two_step_LASSO_X",1.00044086023022,0.534810462048234,-3.59112967508003e-05,0.171762914446111,0.000277427604380735,0.408253732588872,-8.647953590348e-05
