"","pred_mse","r_squared_X","r_squared_Y","model_SE","emp_SE","causal_effect_est","causal_effect_mcse","causal_effect_bias","avg_abs_param_bias","coverage","open_paths","blocked_paths"
"linear",0.998609358089546,0.400257581907276,0.600481455221602,0.00999822716634555,0.010356619458333,0.534583573479155,0.000327562988191211,-0.000263349355798261,0.00888325112142928,0.935,1,1
"stepwise",0.998736937361025,0.400257581907276,0.600430415777449,0.00885352803281544,0.00969851582940044,0.534632650085976,0.000306772563779855,-0.000214272748976916,0.00646986699200462,0.923,1,1
"stepwise_X",1.28150157161967,0.400257581907276,0.487290255187047,0.0113105210776505,0.0109472797324312,0.534657554846949,0.000346304779501414,-0.000189367988004311,0.0765144935600069,0.953,1,1
"two_step_LASSO",0.998654666723589,0.400257581907276,0.600463323285725,0.00914953497762885,0.0101344640965855,0.534193247709317,0.0003199725829019,-0.00065367512563643,0.00767581073883665,0.92,1,1
"two_step_LASSO_X",1.21630112479628,0.400257581907276,0.513374617284004,0.0110083441210861,0.0106169352887052,0.534656880253364,0.000335851149672697,-0.000190042581588721,0.0609266467717134,0.951,1,1
