Unnamed: 0,intercept,X,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45,Z46,Z47,Z48,Z49,Z50,Z51,Z52,Z53,Z54,Z55,Z56,Z57,Z58,Z59,Z60,Z61,Z62,Z63,Z64,Z65
true_values,1.0,0.25,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,
linear,1.0008,0.2499,0.1532,0.1527,0.1536,0.1528,0.1531,0.1533,0.153,0.1532,0.1529,0.1541,0.1523,0.1531,0.1532,0.1533,0.1531,0.1531,0.1531,0.1526,0.1536,0.1524,0.1531,0.1529,0.1537,0.1525,0.1543,0.1528,0.1531,0.1532,0.1537,0.1528,0.153,0.1528,0.1533,0.1525,0.1532,0.1535,0.154,0.1525,0.1533,0.1536,0.1534,0.1535,0.1535,0.152,0.1534,0.1536,0.1527,0.1535,0.1515,0.1528,0.1544,0.1525,0.1541,0.1533,0.1543,0.153,0.1541,0.1531,0.1536,0.1529,0.1529,0.1524,0.1526,0.1526,-0.0005
stepwise,1.0008,0.2499,0.1532,0.1527,0.1536,0.1528,0.1531,0.1533,0.153,0.1532,0.1529,0.154,0.1523,0.1531,0.1532,0.1534,0.1531,0.1531,0.1531,0.1526,0.1536,0.1524,0.1531,0.1529,0.1537,0.1525,0.1543,0.1528,0.1531,0.1532,0.1537,0.1528,0.153,0.1528,0.1533,0.1525,0.1532,0.1534,0.154,0.1525,0.1533,0.1536,0.1533,0.1535,0.1535,0.152,0.1534,0.1536,0.1528,0.1536,0.1515,0.1528,0.1544,0.1526,0.154,0.1533,0.1543,0.153,0.1541,0.1531,0.1536,0.1529,0.1529,0.1524,0.1526,0.1526,-0.0001
stepwise_X,1.0006,0.2501,0.1532,0.1526,0.1535,0.1527,0.153,0.1532,0.1529,0.153,0.1528,0.1539,0.1522,0.1529,0.1531,0.1531,0.1529,0.153,0.1527,0.1526,0.1536,0.1523,0.153,0.1528,0.1536,0.1525,0.1543,0.1527,0.1528,0.1531,0.1536,0.1527,0.1529,0.1527,0.1532,0.1523,0.1529,0.1534,0.1539,0.1524,0.1533,0.1536,0.1531,0.1535,0.1535,0.1519,0.1534,0.1535,0.1527,0.1534,0.1513,0.1528,0.1543,0.1523,0.1539,0.1532,0.1542,0.1528,0.1541,0.153,0.1534,0.1528,0.1528,0.1523,0.1525,0.1526,0.0003
two_step_LASSO,1.0008,0.2499,0.1532,0.1527,0.1536,0.1528,0.1531,0.1533,0.153,0.1532,0.1529,0.1541,0.1523,0.1531,0.1532,0.1533,0.1531,0.1531,0.1531,0.1526,0.1536,0.1524,0.1531,0.1529,0.1537,0.1525,0.1543,0.1528,0.1531,0.1532,0.1537,0.1528,0.153,0.1528,0.1533,0.1525,0.1532,0.1535,0.154,0.1525,0.1533,0.1536,0.1534,0.1535,0.1535,0.152,0.1534,0.1536,0.1527,0.1535,0.1515,0.1528,0.1544,0.1525,0.1541,0.1533,0.1543,0.153,0.1541,0.1531,0.1536,0.1529,0.1529,0.1524,0.1526,0.1526,-0.0005
two_step_LASSO_X,1.0008,0.2499,0.1533,0.1527,0.1536,0.1528,0.1531,0.1533,0.153,0.1531,0.1529,0.1541,0.1523,0.1531,0.1532,0.1533,0.1531,0.1531,0.1531,0.1526,0.1536,0.1524,0.1531,0.1529,0.1537,0.1525,0.1543,0.1528,0.1531,0.1532,0.1537,0.1528,0.153,0.1528,0.1533,0.1525,0.1532,0.1534,0.154,0.1525,0.1533,0.1536,0.1533,0.1534,0.1535,0.152,0.1534,0.1536,0.1527,0.1535,0.1515,0.1528,0.1544,0.1526,0.1541,0.1533,0.1543,0.153,0.1541,0.153,0.1536,0.1529,0.1529,0.1524,0.1526,0.1526,-0.0002
