Unnamed: 0,intercept,X,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45,Z46,Z47,Z48,Z49,Z50,Z51,Z52,Z53,Z54,Z55,Z56,Z57,Z58,Z59,Z60,Z61,Z62,Z63,Z64,Z65
true_values,1.0,0.5,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,0.1531,
linear,0.9978,0.5013,0.1526,0.1528,0.1517,0.1526,0.1533,0.153,0.1536,0.1514,0.153,0.153,0.1534,0.152,0.1525,0.1523,0.1524,0.1526,0.1532,0.152,0.1519,0.1531,0.1537,0.1523,0.1536,0.1529,0.1528,0.1525,0.1521,0.1536,0.1525,0.1513,0.153,0.1524,0.1544,0.1528,0.1541,0.1532,0.1525,0.152,0.1526,0.1547,0.1534,0.1525,0.1533,0.1518,0.1528,0.1538,0.1525,0.1541,0.1523,0.1528,0.1522,0.1531,0.1525,0.1532,0.1529,0.1544,0.1542,0.153,0.152,0.1524,0.1523,0.1522,0.1531,0.1522,0.0006
linear_no_Z,0.3993,1.1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
stepwise,0.9978,0.5014,0.1526,0.1527,0.1517,0.1525,0.1533,0.153,0.1535,0.1514,0.153,0.153,0.1534,0.1519,0.1524,0.1523,0.1524,0.1526,0.1532,0.152,0.1519,0.1531,0.1537,0.1523,0.1536,0.1529,0.1527,0.1525,0.1521,0.1536,0.1525,0.1513,0.153,0.1523,0.1544,0.1528,0.1541,0.1532,0.1525,0.152,0.1526,0.1547,0.1534,0.1525,0.1533,0.1518,0.1528,0.1538,0.1525,0.1541,0.1523,0.1528,0.1522,0.1531,0.1525,0.1532,0.1528,0.1544,0.1542,0.1529,0.152,0.1523,0.1523,0.1522,0.1531,0.1522,-0.0003
stepwise_X,0.9977,0.5016,0.1524,0.1526,0.1517,0.1524,0.1531,0.1529,0.1533,0.1512,0.1528,0.1529,0.153,0.1519,0.1524,0.1521,0.1522,0.1525,0.1532,0.1518,0.1519,0.153,0.1536,0.152,0.1534,0.1528,0.1528,0.1523,0.1521,0.1536,0.1524,0.1511,0.1529,0.1521,0.1542,0.1527,0.154,0.1531,0.1525,0.152,0.1525,0.1546,0.1533,0.1524,0.1531,0.1518,0.1527,0.1536,0.1525,0.1539,0.1522,0.1525,0.1522,0.1529,0.1525,0.1531,0.1528,0.1544,0.1541,0.153,0.1519,0.1521,0.1522,0.152,0.1527,0.1522,0.0002
two_step_LASSO,0.9978,0.5013,0.1526,0.1528,0.1517,0.1526,0.1533,0.153,0.1536,0.1514,0.153,0.153,0.1534,0.152,0.1525,0.1523,0.1524,0.1526,0.1532,0.152,0.1519,0.1531,0.1537,0.1523,0.1536,0.1529,0.1528,0.1525,0.1521,0.1536,0.1525,0.1513,0.153,0.1524,0.1544,0.1528,0.1541,0.1532,0.1525,0.152,0.1526,0.1547,0.1534,0.1525,0.1533,0.1518,0.1528,0.1538,0.1525,0.1541,0.1523,0.1528,0.1522,0.1531,0.1525,0.1532,0.1529,0.1544,0.1542,0.153,0.152,0.1524,0.1523,0.1522,0.1531,0.1522,0.0007
two_step_LASSO_X,0.9978,0.5013,0.1526,0.1528,0.1517,0.1525,0.1533,0.153,0.1536,0.1514,0.153,0.153,0.1534,0.152,0.1525,0.1523,0.1524,0.1526,0.1532,0.152,0.1519,0.1531,0.1537,0.1523,0.1536,0.1529,0.1528,0.1525,0.1521,0.1536,0.1525,0.1513,0.153,0.1524,0.1544,0.1528,0.1541,0.1532,0.1525,0.152,0.1526,0.1547,0.1534,0.1525,0.1533,0.1518,0.1528,0.1538,0.1525,0.1541,0.1523,0.1528,0.1522,0.1531,0.1525,0.1532,0.1529,0.1544,0.1542,0.153,0.152,0.1524,0.1523,0.1522,0.1531,0.1522,0.0004
