Unnamed: 0,pred_mse,r_squared_X,r_squared_Y,model_SE,emp_SE,causal_true_val,causal_effect_est,causal_effect_bias,causal_effect_mcse,avg_abs_param_bias,coverage,open_paths,blocked_paths
linear,0.9999,0.5316,0.7193,0.0339,0.0334,0.5,0.5014,0.0014,0.0,0.0275,0.954,64,64.0
linear_no_Z,1.5663,0.5316,0.5604,0.0281,0.0276,0.5,1.0006,0.5006,0.0,0.1348,0.0,64,0.0
stepwise,1.0013,0.5316,0.7189,0.0337,0.0347,0.5,0.5048,0.0048,0.0,0.0278,0.941,64,63.2235
stepwise_X,1.0079,0.5316,0.717,0.034,0.0335,0.5,0.5034,0.0034,0.0,0.0279,0.9525,64,63.5325
two_step_LASSO,0.9999,0.5316,0.7193,0.0339,0.0334,0.5,0.5015,0.0015,0.0,0.0275,0.954,64,63.9775
two_step_LASSO_X,1.0001,0.5316,0.7192,0.0339,0.0334,0.5,0.5014,0.0014,0.0,0.0274,0.954,64,63.9955
