Unnamed: 0,pred_mse,r_squared_X,r_squared_Y,model_SE,emp_SE,causal_effect_est,causal_effect_mcse,causal_effect_bias,avg_abs_param_bias,coverage,open_paths,blocked_paths
linear,6.1574,0.2301,0.3425,0.0318,0.0313,0.2514,0.0007,0.0014,0.0665,0.957,64,64.0
stepwise,6.2799,0.2301,0.3294,0.0302,0.0453,0.2803,0.0008,0.0303,0.0872,0.806,64,41.552
stepwise_X,6.7747,0.2301,0.2766,0.0326,0.0435,0.2799,0.0007,0.0299,0.0954,0.853,64,41.809
two_step_LASSO,6.1594,0.2301,0.3423,0.0315,0.0317,0.2525,0.0007,0.0025,0.0672,0.949,64,60.2965
two_step_LASSO_X,6.266,0.2301,0.3309,0.032,0.0313,0.2521,0.0007,0.0021,0.0713,0.959,64,60.2465
