Unnamed: 0,pred_mse,r_squared_X,r_squared_Y,model_SE,emp_SE,causal_effect_est,causal_effect_mcse,causal_effect_bias,avg_abs_param_bias,coverage,open_paths,blocked_paths
linear,0.6863,0.439,0.6263,0.0281,0.0281,0.2503,0.0006,0.0003,0.0227,0.9495,64,64.0
stepwise,0.6873,0.439,0.6258,0.0279,0.0289,0.2528,0.0006,0.0028,0.0229,0.941,64,63.166
stepwise_X,0.7143,0.439,0.611,0.0286,0.03,0.2589,0.0006,0.0089,0.026,0.939,64,61.324
two_step_LASSO,0.6863,0.439,0.6263,0.0281,0.0281,0.2504,0.0006,0.0004,0.0227,0.9495,64,63.9825
two_step_LASSO_X,0.6873,0.439,0.6258,0.0281,0.028,0.2504,0.0006,0.0004,0.0228,0.9495,64,63.9215
