Unnamed: 0,pred_mse,r_squared_X,r_squared_Y,model_SE,emp_SE,causal_true_val,causal_effect_est,causal_effect_bias,causal_effect_mcse,avg_abs_param_bias,coverage,open_paths,blocked_paths
linear,1.2066,0.4048,0.6615,0.0327,0.0326,0.5,0.6996,0.1996,0.0,0.062,0,64,48.0
linear_no_Z,1.5678,0.4048,0.5602,0.0281,0.0277,0.5,1.0002,0.5002,0.0,0.1348,0,64,0.0
stepwise,1.2136,0.4048,0.6595,0.0317,0.0369,0.5,0.7157,0.2157,0.0,0.0655,0,64,43.096
stepwise_X,1.2175,0.4048,0.6584,0.0328,0.0327,0.5,0.7024,0.2024,0.0,0.0631,0,64,47.046
two_step_LASSO,1.2066,0.4048,0.6614,0.0327,0.0327,0.5,0.6998,0.1998,0.0,0.062,0,64,47.739
two_step_LASSO_X,1.207,0.4048,0.6613,0.0327,0.0326,0.5,0.6996,0.1996,0.0,0.0619,0,64,47.9785
