Unnamed: 0,pred_mse,r_squared_X,r_squared_Y,model_SE,emp_SE,causal_true_val,causal_effect_est,causal_effect_bias,causal_effect_mcse,avg_abs_param_bias,coverage,open_paths,blocked_paths
linear,1.1176,0.4751,0.7523,0.03,0.0296,0.5,0.7725,0.2725,0.0,0.0781,0,64,48.0
linear_no_Z,1.5002,0.4751,0.6676,0.0246,0.0245,0.5,1.099,0.599,0.0,0.1646,0,64,0.0
stepwise,1.1208,0.4751,0.7516,0.0294,0.0328,0.5,0.7804,0.2804,0.0,0.0799,0,64,45.8865
stepwise_X,1.1211,0.4751,0.7516,0.03,0.0296,0.5,0.7731,0.2731,0.0,0.0781,0,64,47.804
two_step_LASSO,1.1176,0.4751,0.7523,0.03,0.0296,0.5,0.7725,0.2725,0.0,0.0781,0,64,47.9175
two_step_LASSO_X,1.1178,0.4751,0.7523,0.03,0.0296,0.5,0.7725,0.2725,0.0,0.078,0,64,47.9975
