Unnamed: 0,pred_mse,r_squared_X,r_squared_Y,model_SE,emp_SE,causal_effect_est,causal_effect_mcse,causal_effect_bias,avg_abs_param_bias,coverage,open_paths,blocked_paths
linear,1.1448,0.4101,0.6065,0.0345,0.0344,0.5002,0.0008,0.0002,0.0285,0.9535,16,16
stepwise,1.1453,0.4101,0.6063,0.0345,0.0344,0.5002,0.0008,0.0002,0.0275,0.9535,16,16
stepwise_X,1.1457,0.4101,0.6061,0.0345,0.0344,0.5002,0.0008,0.0002,0.0272,0.954,16,16
two_step_LASSO,1.1448,0.4101,0.6065,0.0345,0.0344,0.5002,0.0008,0.0002,0.0284,0.9535,16,16
two_step_LASSO_X,1.1451,0.4101,0.6064,0.0345,0.0344,0.5002,0.0008,0.0002,0.0281,0.9535,16,16
