Unnamed: 0,intercept,X,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45,Z46,Z47,Z48,Z49,Z50,Z51,Z52,Z53,Z54,Z55,Z56,Z57,Z58,Z59,Z60,Z61,Z62,Z63,Z64,Z65,Z66,Z67,Z68,Z69,Z70,Z71,Z72,Z73,Z74,Z75,Z76,Z77,Z78,Z79,Z80,Z81,Z82,Z83,Z84,Z85,Z86,Z87,Z88,Z89,Z90,Z91,Z92,Z93,Z94,Z95,Z96,Z97,Z98,Z99,Z100,Z101,Z102,Z103,Z104,Z105,Z106,Z107,Z108,Z109,Z110,Z111,Z112,Z113,Z114,Z115,Z116,Z117,Z118,Z119,Z120,Z121,Z122,Z123,Z124,Z125,Z126,Z127,Z128,Z129
true_values,1.0,0.5,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,0.0722,
linear,1.0004,0.5002,0.0723,0.0727,0.0716,0.0719,0.0733,0.0713,0.072,0.0731,0.0716,0.0715,0.0725,0.072,0.0722,0.0718,0.0721,0.0722,0.0736,0.0738,0.0736,0.072,0.0717,0.0716,0.0732,0.073,0.0729,0.0707,0.0735,0.0726,0.0716,0.0714,0.0724,0.0713,0.0716,0.0712,0.0718,0.0722,0.0722,0.0722,0.0715,0.0721,0.0732,0.0737,0.0717,0.0734,0.072,0.0728,0.0723,0.0716,0.0725,0.0713,0.0727,0.0725,0.0729,0.0712,0.0714,0.0731,0.0722,0.0734,0.073,0.0722,0.0709,0.0734,0.0704,0.0719,0.0733,0.0726,0.0722,0.0724,0.0724,0.0731,0.0723,0.0708,0.0708,0.0718,0.0727,0.0714,0.0732,0.0717,0.0723,0.0712,0.0726,0.0737,0.0721,0.072,0.0709,0.073,0.0723,0.0724,0.0728,0.0714,0.0725,0.0706,0.073,0.072,0.0701,0.0725,0.0724,0.0723,0.0725,0.0724,0.0735,0.0714,0.0733,0.0723,0.0725,0.0705,0.0724,0.0729,0.0735,0.0727,0.0725,0.0713,0.0736,0.0729,0.0713,0.0724,0.0723,0.0726,0.0722,0.0736,0.0721,0.0714,0.0715,0.0719,0.0731,0.0704,0.0709,0.0711,0.0001
stepwise,0.9295,0.5709,0.0602,0.0598,0.059,0.0595,0.0604,0.0583,0.0589,0.0599,0.0586,0.0592,0.0599,0.059,0.0592,0.0587,0.0592,0.0597,0.0603,0.0608,0.0606,0.0589,0.0583,0.0593,0.0597,0.06,0.0606,0.0586,0.0605,0.0599,0.0588,0.0582,0.0594,0.0583,0.0593,0.0585,0.0592,0.0586,0.0595,0.0592,0.0586,0.0592,0.0601,0.0608,0.0591,0.0609,0.0591,0.06,0.0594,0.0585,0.0595,0.0589,0.0598,0.06,0.0605,0.0583,0.0585,0.0606,0.0597,0.0606,0.0604,0.0593,0.058,0.0614,0.0575,0.0588,0.0609,0.0595,0.0595,0.0597,0.0604,0.0607,0.0597,0.0579,0.0573,0.0589,0.06,0.0585,0.0617,0.0588,0.0595,0.0578,0.0599,0.0608,0.059,0.0588,0.0577,0.0607,0.0595,0.0594,0.0599,0.0585,0.0597,0.0584,0.0605,0.0596,0.0574,0.0598,0.0599,0.0597,0.059,0.06,0.061,0.0579,0.0607,0.0593,0.0597,0.0567,0.0599,0.06,0.0612,0.0596,0.0593,0.0584,0.0612,0.0595,0.0592,0.06,0.0596,0.0601,0.0596,0.0616,0.0591,0.0581,0.0582,0.059,0.0608,0.0575,0.0581,0.0582,-0.0005
stepwise_X,0.9523,0.5486,0.0549,0.055,0.0555,0.0555,0.0562,0.0536,0.0539,0.0536,0.0543,0.054,0.0535,0.0532,0.0545,0.0554,0.0555,0.0531,0.0556,0.0561,0.0548,0.0551,0.0533,0.0529,0.0548,0.0534,0.0547,0.0526,0.0558,0.0548,0.0538,0.0548,0.0537,0.054,0.0538,0.053,0.0545,0.0535,0.0533,0.0559,0.053,0.0538,0.0566,0.0571,0.0536,0.0558,0.053,0.0549,0.0555,0.0541,0.0555,0.0529,0.0552,0.0546,0.054,0.0531,0.0549,0.0549,0.0545,0.0559,0.0555,0.0544,0.0528,0.0562,0.0545,0.0539,0.0545,0.0552,0.054,0.0536,0.0544,0.0549,0.0541,0.0538,0.0534,0.0549,0.0546,0.0538,0.0557,0.0552,0.0541,0.0545,0.0543,0.0562,0.0544,0.0542,0.0528,0.0546,0.0544,0.0532,0.0552,0.0544,0.0555,0.053,0.0551,0.0547,0.0527,0.0546,0.0543,0.0554,0.0555,0.0552,0.0553,0.0535,0.0557,0.0547,0.0548,0.0526,0.0547,0.0551,0.0551,0.0548,0.0537,0.0535,0.0563,0.0562,0.0534,0.0537,0.0551,0.0546,0.0547,0.0545,0.0548,0.0525,0.0533,0.0562,0.0548,0.0521,0.0539,0.0534,-0.0003
two_step_LASSO,0.9979,0.5025,0.0719,0.0722,0.0711,0.0715,0.0729,0.0709,0.0716,0.0726,0.0711,0.0709,0.0721,0.0715,0.0717,0.0714,0.0717,0.0717,0.0731,0.0734,0.0732,0.0716,0.0713,0.0712,0.0727,0.0725,0.0725,0.0702,0.0731,0.0721,0.0712,0.0709,0.0719,0.0709,0.0712,0.0708,0.0714,0.0718,0.0717,0.0718,0.0711,0.0717,0.0729,0.0732,0.0712,0.073,0.0716,0.0724,0.0718,0.0712,0.0721,0.0708,0.0723,0.0721,0.0724,0.0708,0.0709,0.0727,0.0718,0.073,0.0726,0.0718,0.0705,0.073,0.0699,0.0715,0.0728,0.0722,0.0717,0.072,0.072,0.0726,0.0719,0.0703,0.0704,0.0714,0.0723,0.071,0.0727,0.0713,0.0719,0.0708,0.0721,0.0733,0.0717,0.0716,0.0704,0.0726,0.0718,0.0721,0.0723,0.0709,0.072,0.0702,0.0726,0.0715,0.0696,0.0721,0.072,0.0719,0.072,0.0721,0.073,0.071,0.0729,0.0719,0.0721,0.07,0.0719,0.0725,0.073,0.0723,0.072,0.0709,0.0732,0.0725,0.071,0.072,0.0718,0.0722,0.0718,0.0732,0.0716,0.071,0.071,0.0715,0.0726,0.07,0.0705,0.0706,-0.0
two_step_LASSO_X,1.0001,0.5004,0.0712,0.0713,0.0703,0.0703,0.0723,0.0701,0.071,0.0717,0.0704,0.0698,0.0712,0.0706,0.0711,0.0707,0.0706,0.071,0.0721,0.0723,0.0721,0.0704,0.0707,0.0697,0.0721,0.0713,0.0717,0.0693,0.0724,0.0714,0.0693,0.0702,0.071,0.0702,0.07,0.0697,0.071,0.0712,0.0709,0.0708,0.0699,0.0706,0.072,0.0728,0.0699,0.0722,0.0707,0.0717,0.071,0.07,0.0714,0.0701,0.0715,0.0711,0.0714,0.0694,0.0706,0.0716,0.0711,0.0718,0.0715,0.0708,0.0694,0.0718,0.0684,0.0708,0.072,0.0716,0.0709,0.0708,0.0712,0.0719,0.0713,0.0693,0.0695,0.0709,0.0713,0.0702,0.072,0.0705,0.0708,0.0702,0.0715,0.0722,0.0713,0.0712,0.0695,0.0713,0.071,0.0714,0.0719,0.0704,0.071,0.0692,0.0711,0.0706,0.0688,0.0713,0.0711,0.0711,0.0715,0.0717,0.0719,0.0703,0.072,0.0711,0.0715,0.0691,0.0712,0.072,0.0722,0.0716,0.0711,0.0699,0.0717,0.0713,0.0699,0.0707,0.0713,0.0711,0.0707,0.0723,0.0706,0.0698,0.0698,0.0707,0.0717,0.0687,0.0698,0.0701,0.0
