Unnamed: 0,intercept,X,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9
true_values,1.0,0.5348,0.0,0.0,0.4082,0.4082,0.0,0.0,0.4082,0.4082,
linear,1.0001,0.5348,0.0,0.0001,0.4089,0.4082,-0.0,0.0005,0.4085,0.4078,-0.0003
stepwise,0.9998,0.5351,-0.0002,0.0,0.4089,0.4082,-0.0003,-0.0002,0.4084,0.4077,-0.0003
stepwise_X,1.0005,0.5347,-0.0001,0.0,0.0695,0.0604,-0.0002,0.0007,0.4086,0.4081,-0.0001
two_step_LASSO,1.0004,0.5346,0.0,0.0002,0.4089,0.4082,0.0004,0.0008,0.4086,0.4079,-0.0002
two_step_LASSO_X,1.0004,0.5348,-0.0002,0.0001,0.1712,0.1723,-0.0001,0.0007,0.4085,0.408,-0.0001
