Unnamed: 0,pred_mse,r_squared_X,r_squared_Y,model_SE,emp_SE,causal_effect_est,causal_effect_mcse,causal_effect_bias,avg_abs_param_bias,coverage,open_paths,blocked_paths
linear,1.1251,0.4195,0.6136,0.0348,0.0341,0.5002,0.0008,0.0002,0.0283,0.958,32,32.0
stepwise,1.1257,0.4195,0.6134,0.0347,0.0344,0.5008,0.0008,0.0008,0.0279,0.954,32,31.893
stepwise_X,1.1267,0.4195,0.613,0.0348,0.0341,0.5003,0.0008,0.0003,0.0278,0.959,32,31.967
two_step_LASSO,1.1251,0.4195,0.6136,0.0348,0.0341,0.5002,0.0008,0.0002,0.0283,0.958,32,31.9975
two_step_LASSO_X,1.1253,0.4195,0.6135,0.0348,0.0341,0.5002,0.0008,0.0002,0.0281,0.958,32,31.9995
