Unnamed: 0,pred_mse,r_squared_X,r_squared_Y,model_SE,emp_SE,causal_effect_est,causal_effect_mcse,causal_effect_bias,avg_abs_param_bias,coverage,open_paths,blocked_paths
linear,0.9986,0.4003,0.6005,0.01,0.0104,0.5346,0.0003,-0.0003,0.0089,0.935,1,1
stepwise,0.9987,0.4003,0.6004,0.0089,0.0097,0.5346,0.0003,-0.0002,0.0065,0.923,1,1
stepwise_X,1.2815,0.4003,0.4873,0.0113,0.0109,0.5347,0.0003,-0.0002,0.0765,0.953,1,1
two_step_LASSO,0.9987,0.4003,0.6005,0.0091,0.0101,0.5342,0.0003,-0.0007,0.0077,0.92,1,1
two_step_LASSO_X,1.2163,0.4003,0.5134,0.011,0.0106,0.5347,0.0003,-0.0002,0.0609,0.951,1,1
