Unnamed: 0,pred_mse,r_squared_X,r_squared_Y,model_SE,emp_SE,causal_effect_est,causal_effect_mcse,causal_effect_bias,avg_abs_param_bias,coverage,open_paths,blocked_paths
linear,0.9984,0.4011,0.5996,0.01,0.0101,0.5338,0.001,-0.0011,0.0083,0.97,4,4
stepwise,0.9987,0.4011,0.5995,0.0088,0.0098,0.5335,0.001,-0.0014,0.0059,0.95,4,4
stepwise_X,1.2693,0.4011,0.491,0.0113,0.0104,0.5336,0.001,-0.0013,0.0551,0.96,4,4
two_step_LASSO,0.9984,0.4011,0.5996,0.0092,0.0098,0.5336,0.001,-0.0013,0.0074,0.94,4,4
two_step_LASSO_X,1.1608,0.4011,0.5345,0.0108,0.0098,0.5338,0.001,-0.001,0.0363,0.97,4,4
