Unnamed: 0,pred_mse,r_squared_X,r_squared_Y,model_SE,emp_SE,causal_effect_est,causal_effect_mcse,causal_effect_bias,avg_abs_param_bias,coverage,open_paths,blocked_paths
linear,0.5604,0.6255,0.8131,0.0254,0.0254,0.2499,0.0006,-0.0001,0.0206,0.9525,64,64.0
stepwise,0.5607,0.6255,0.8131,0.0254,0.0253,0.2499,0.0006,-0.0001,0.0204,0.9535,64,64.0
stepwise_X,0.5617,0.6255,0.8127,0.0254,0.0254,0.2501,0.0006,0.0001,0.0204,0.953,64,63.965
two_step_LASSO,0.5604,0.6255,0.8131,0.0254,0.0254,0.2499,0.0006,-0.0001,0.0206,0.9525,64,64.0
two_step_LASSO_X,0.5605,0.6255,0.8131,0.0254,0.0254,0.2499,0.0006,-0.0001,0.0206,0.9525,64,64.0
